"","Year","mean_W","total_species_pairs","mean_lc_stab","lc_sp_pairs","mean_mp_stab","mp_species_pairs","mean_cc_stab","cc_species_pairs"
"1",1986,0.000169923645790396,4005,0.000197094327206077,773,0.000158121462338865,157,0.00015954115675313,3075
"2",1987,0.000115209786029123,4371,0.00014580211767376,847,0.000339917270210002,172,9.87438444667432e-05,3352
"3",1988,0.000126497604515288,4560,0.000148196465999847,880,0.000233009351667854,162,0.000119732773492593,3518
"4",1989,0.000128842620246556,4186,0.000142609169913068,802,0.00023741394829266,166,0.000119535528957567,3218
"5",1990,0.000143200019668927,4465,0.000148538600097762,856,0.000174236975572619,168,0.000141589084172351,3441
"6",1991,0.000122765883906759,5050,0.000142186107574428,972,0.000162528973506314,182,0.000116911809580604,3896
"7",1992,0.000104475773487015,3828,0.000110887347031608,741,9.29778439734611e-05,144,0.000105322716179047,2943
"8",1993,0.000130061387575313,6105,0.000162204018924829,1178,0.000257981399211443,197,0.000117072236272392,4730
"9",1994,0.000187066682623793,4005,0.00024994813662664,767,0.000253389827817078,153,0.0001624643252747,3085
"10",1995,0.000262570147633213,4095,0.000210467546974475,805,0.000799474943822195,150,0.000233807819753657,3140
"11",1996,0.000181634334474142,3828,0.000170698512685225,740,0.000238840196929496,144,0.000177208748679174,2944
"12",1997,0.000187880100426339,3240,0.000178046512877858,647,0.000209486315809504,138,0.000194197328521683,2455
"13",1998,0.000289132850775983,2701,0.000240180786760663,528,0.000506703323853847,121,0.00028389823363719,2052
"14",1999,0.000260111424574672,2701,0.000252425697870178,515,0.000283698744159064,134,0.000256774626204844,2052
"15",2008,0.000210317236839197,3828,0.000187378070640994,775,0.000243184412623388,137,0.000210615051327946,2916
"16",2009,0.000139551289195847,4851,0.000139529691627472,954,0.000202168271557314,163,0.000126352661793068,3734
"17",2010,9.92867929786986e-05,4560,0.000102473807745727,879,0.000137891477029028,169,9.3463441313982e-05,3512
"18",2011,8.21456996529647e-05,5151,7.6789509187858e-05,1020,9.52115269324118e-05,175,7.91578848161556e-05,3956
"19",2012,9.27990308927457e-05,5460,8.94309527762445e-05,1077,0.00011178772980098,177,8.86115262160172e-05,4206
"20",2013,5.40771451647185e-05,4465,5.12943369726934e-05,872,0.000137689563664993,162,5.0948626618959e-05,3431
"21",2014,6.8887271994563e-05,3570,6.24603162504588e-05,693,0.000118560064783102,141,6.56496571572018e-05,2736
"22",2015,9.38947236819169e-05,4851,0.000104224291526323,938,0.000123507148768834,163,8.48875073881946e-05,3750
"23",2016,6.74223018693281e-05,4851,6.79826061745709e-05,957,7.23580370025642e-05,169,6.29286059600225e-05,3725
"24",2017,8.97577388574025e-05,4950,8.72406671052877e-05,960,9.84612164167231e-05,172,8.65650778770843e-05,3818
"25",2018,0.000101401334300744,4005,9.83530012878768e-05,771,9.50926822976361e-05,158,9.97216489426261e-05,3076
"26",2019,8.44559686388889e-05,4851,8.09835583697192e-05,968,0.000104899725517057,164,7.61165072846233e-05,3719
